Factor,Mean_IC,ICIR,Direction
GP_ALPHA_2_EMA_10,-0.05273901909941024,0.3982508309619806,-1
GP_ALPHA_2_SMA_10,-0.05303121389933058,0.3949604617463918,-1
GP_ALPHA_2_SMA_5,-0.051502315820751196,0.3897638948859681,-1
GP_ALPHA_2_EMA_5,-0.05104538650535098,0.38666027904155964,-1
GP_ALPHA_2_SMA_3,-0.048948147631346195,0.37012289786712926,-1
GP_ALPHA_2_EMA_3,-0.048227629381702566,0.3650890888408015,-1
GP_ALPHA_4_EMA_10,-0.04742620928888701,0.34881630244226947,-1
GP_ALPHA_4_SMA_10,-0.04715619095968329,0.34671633684894376,-1
GP_ALPHA_4_SMA_5,-0.04760076566186786,0.3460058163790921,-1
GP_ALPHA_4_EMA_5,-0.04707558497434439,0.34182399597910085,-1
GP_ALPHA_4_SMA_3,-0.046529498064158355,0.33748744754858534,-1
GP_ALPHA_4_EMA_3,-0.04641481956850535,0.3353119784302805,-1
GP_ALPHA_4,-0.045514858958113254,0.32685398048225056,-1
GP_ALPHA_1_EMA_3,-0.049720054975342785,0.3229147624557641,-1
GP_ALPHA_1_EMA_5,-0.0495966833059601,0.32240250964084566,-1
GP_ALPHA_1_SMA_3,-0.04926209675460227,0.3209680995637126,-1
GP_ALPHA_1_EMA_10,-0.04895413354873475,0.31953344605820233,-1
GP_ALPHA_1,-0.048905933003301205,0.3186670351855452,-1
GP_ALPHA_1_SMA_5,-0.04812676469135204,0.3148038698411998,-1
GP_ALPHA_0,-0.047311375047327985,0.3138335770009746,-1
GP_ALPHA_0_EMA_10,-0.046290782042346705,0.3132420511151328,-1
GP_ALPHA_0_EMA_3,-0.04669718438503252,0.3125659134450231,-1
GP_ALPHA_0_EMA_5,-0.04627844491276991,0.3109068023385393,-1
GP_ALPHA_1_SMA_10,-0.04698979105295425,0.3079511941855582,-1
GP_ALPHA_0_SMA_3,-0.04559314790546794,0.3047027820380197,-1
GP_ALPHA_2,-0.04037806949774055,0.30026163589421495,-1
GP_ALPHA_0_SMA_5,-0.04458298607689578,0.2971108222843925,-1
GP_ALPHA_0_SMA_10,-0.04361628304727962,0.29368275276619615,-1
GP_ALPHA_3_EMA_10,-0.03992388819375189,0.2442608177694927,-1
GP_ALPHA_3_SMA_10,-0.038403230553669,0.23860336751742126,-1
GP_ALPHA_3_EMA_5,-0.037779058170761756,0.23774338496081016,-1
GP_ALPHA_3,-0.03631442337152974,0.23515676465518148,-1
GP_ALPHA_3_EMA_3,-0.0368793925928979,0.2350483665842353,-1
GP_ALPHA_3_SMA_3,-0.03559892609203997,0.22878679490724738,-1
GP_ALPHA_3_SMA_5,-0.0349424983866815,0.2232640269430703,-1
